,Year,Country_Code,Country_Name,Population_Density,People_Near_Rapid_Transit,Transit_Legend
350,1975,AUT,Austria,14196.3583422064,0.0,0.0
351,1976,AUT,Austria,14018.26311460566,0.0556256119496135,0.0556256119496135
352,1977,AUT,Austria,13840.16788700492,0.1112512238992271,0.1112512238992271
353,1978,AUT,Austria,13662.07265940418,0.1668768358488407,0.1668768358488407
354,1979,AUT,Austria,13483.97743180344,0.2225024477984543,0.2225024477984543
355,1980,AUT,Austria,13305.8822042027,0.278128059748068,0.278128059748068
356,1981,AUT,Austria,13213.07862536512,0.2931961084971904,0.2931961084971904
357,1982,AUT,Austria,13120.27504652754,0.3082641572463128,0.3082641572463128
358,1983,AUT,Austria,13027.47146768996,0.3233322059954352,0.3233322059954352
359,1984,AUT,Austria,12934.66788885238,0.3384002547445576,0.3384002547445576
360,1985,AUT,Austria,12841.8643100148,0.35346830349368,0.35346830349368
361,1986,AUT,Austria,12772.76212164344,0.3669588048663206,0.3669588048663206
362,1987,AUT,Austria,12703.65993327208,0.3804493062389612,0.3804493062389612
363,1988,AUT,Austria,12634.55774490072,0.3939398076116018,0.3939398076116018
364,1989,AUT,Austria,12565.45555652936,0.4074303089842424,0.4074303089842424
365,1990,AUT,Austria,12496.353368158,0.420920810356883,0.420920810356883
366,1991,AUT,Austria,12410.63844578166,0.439222668567584,0.439222668567584
367,1992,AUT,Austria,12324.92352340532,0.457524526778285,0.457524526778285
368,1993,AUT,Austria,12239.20860102898,0.475826384988986,0.475826384988986
369,1994,AUT,Austria,12153.49367865264,0.494128243199687,0.494128243199687
370,1995,AUT,Austria,12067.7787562763,0.512430101410388,0.512430101410388
371,1996,AUT,Austria,12000.01119986802,0.5301294511030719,0.5301294511030719
372,1997,AUT,Austria,11932.24364345974,0.5478288007957556,0.5478288007957556
373,1998,AUT,Austria,11864.47608705146,0.5655281504884394,0.5655281504884394
374,1999,AUT,Austria,11796.70853064318,0.5832275001811231,0.5832275001811231
375,2000,AUT,Austria,11728.9409742349,0.600926849873807,0.600926849873807
376,2001,AUT,Austria,11804.2697808202,0.5953612440267295,0.5953612440267295
377,2002,AUT,Austria,11879.5985874055,0.5897956381796522,0.5897956381796522
378,2003,AUT,Austria,11954.9273939908,0.5842300323325748,0.5842300323325748
379,2004,AUT,Austria,12030.2562005761,0.5786644264854974,0.5786644264854974
380,2005,AUT,Austria,12105.5850071614,0.57309882063842,0.57309882063842
381,2006,AUT,Austria,12170.20614494696,0.5798228180523184,0.5798228180523184
382,2007,AUT,Austria,12234.82728273252,0.5865468154662168,0.5865468154662168
383,2008,AUT,Austria,12299.44842051808,0.5932708128801152,0.5932708128801152
