"Country_Code","Country","Population_Near_Rapid_Transit","Population_Near_Fast_Transit","Population_Near_National_Highways","Population_Near_Cycling_Facilities","Population_Near_Sidewalks","Population_Near_Pedestrian_Bridges","Block_Density","Population_Density","Population_Near_Sustainable_Transport"
"ARG","Argentina",0.0876048088525019,0.651768163986148,0.791800911074585,0.22404771928151,0.774357538457481,0.127240391600132,68.1827082204551,10746.0478846286,0.00743878640073392
"CHL","Chile",0.195809390567026,0,0.651903157992141,0.502979823397929,0.802592596875541,0.244167009855396,86.7071723091826,15550.750661283,0.0913629142085405
"URY","Uruguay",0,NA,0.833296142808245,0.351323946991278,0.846593592930567,0.146354205717442,57.8656388659662,11368.9984240644,0
"PRY","Paraguay",0,NA,0.80015356735293,0.223884264176534,0.708741653267861,0.0297245485443756,58.2446186584354,4984.81252437589,0
"BOL","Bolivia",0.0307006241603705,NA,0.625504482589469,0.405218381779647,0.772153996570325,0.0306828463375305,86.1267234634529,10511.2112820106,0.00185788555426488
"BRA","Brazil",0.0456192976087277,0.198437407246954,0.605774578395561,0.317185296744064,0.612230331634401,0.0638872123055631,62.7676926936557,21496.4735615718,0.00839500580151071
"NZL","New Zealand",0,0.396291044925089,0.795108498151871,0.626334568108091,0.677731344209421,0.201914496850348,32.2744321320074,6833.88265882856,0.100606313324373
"GAB","Gabon",0,NA,0.686500950854685,0.0241051723544127,0.336083503402133,0,17.8942042951824,9434.29987374222,0
"FRA","France",0.490431769180681,0.712330765233578,0.629739232961582,0.722797335986263,0.894022651406278,0.436031850667458,62.4949598706323,14916.4166982927,0.100270525181638
"GNQ","Equatorial Guinea",0,NA,0.783373442457097,0.0618145573452273,0.0287118392535213,0,22.0997363125904,23019.1579412818,0
"LBR","Liberia",0,NA,0.907187038775616,0.240200336606629,0.155387203620188,0,30.6081949445057,13532.4510473623,0
"CMR","Cameroon",0,0.0565906060677427,0.838930325592109,0.0733639672327203,0.668641689792813,0,44.2614755571128,34048.3256337136,0
"PER","Peru",0.0782966699652771,NA,0.592695224635653,0.591379131869751,0.861483915581695,0.129702009888115,114.139589630703,21483.5328379675,0.023042780341179
"ECU","Ecuador",0.159359465022225,NA,0.528098503288268,0.360248206783573,0.761634650622895,0.046245211624727,105.368612980295,17061.1628322807,0.0238181779876095
"GBR","United Kingdom",0.00627938746781304,0.0818516642682542,0.785274735659583,0.718309642451978,0.808933549741853,0.276070353456008,54.1583145365578,11930.442465215,0.00602577862822616
"COL","Colombia",0.214879923551284,0.849255121005812,0.482219177916306,0.635730700858748,0.775941654552273,0.282542726232144,110.626885223129,31042.7881647007,0.0293383335490273
"VEN","Venezuela",0.100327625164797,NA,0.653442183397672,0.154717563102059,0.429872656477139,0.0039979916497487,63.8574731915949,15649.8881004866,0.00383667161378457
"CRI","Costa Rica",0,NA,0.815214132310256,0.341558461419364,0.7196862273232,0,37.7709055524819,10782.3396284889,0
"PAN","Panama",0.168175995230776,NA,0.516030379526434,0.231869307901921,0.47942267507469,0.0111352555665959,43.0450295283877,17391.2231194217,0.0055465501585464
"CIV","Côte d’Ivoire",0,0.184667700074875,0.732246894781437,0.190692263867425,0.771087693821909,0,63.913807211538,29354.9356679778,0
"GHA","Ghana",0,0.0677654616478776,0.749445480946758,0.073812975445736,0.420549545227328,0,37.6302273497013,17289.4630431597,0
"SLE","Sierra Leone",0,0,0.694610892882018,0.349475356070916,0.432678823068119,0,34.4543199056595,30385.3158086865,0
"TGO","Togo",0,NA,0.675659809245383,0.250378683364221,0.586399754262404,0,62.5053413909721,10611.1097346211,0
